building_id,building_name,building_type,city,state,climate_zone,year_built,floor_area_sqft,number_of_floors,occupancy_count,energy_use_kwh,water_use_gallons,electricity_cost,gas_cost,maintenance_cost,carbon_emissions_kg,hvac_age,insulation_quality,window_type,energy_star_score,last_retrofit_year,renewable_energy_pct,estimated_retrofit_cost
B0102,Chicago Lab 25,Lab,Chicago,IL,Cold-Humid,1966,155996,11,498,9927111,3767772,917833.7,172012.89,321127.0,3176675,14,Good,Double Pane,47,1992,0.0,786028.23
B0103,Houston Mixed Use 23,Mixed Use,Houston,TX,Hot-Humid,1951,64088,7,243,2035138,762552,227090.45,45584.92,206144.87,651244,24,Poor,Double Pane,31,1951,0.0,819162.91
B0104,New York School 45,School,New York,NY,Cold-Humid,1954,24873,5,109,464971,323065,51038.05,8494.06,40767.37,148791,16,Good,Double Pane,62,1997,0.0,258491.42
B0105,Houston Government 57,Government,Houston,TX,Hot-Humid,1943,49081,5,188,1461511,1080889,161725.32,24105.58,113449.42,466971,15,Good,Double Pane,56,1993,0.2,251270.74
B0106,Chicago Office 14,Office,Chicago,IL,Cold-Humid,2015,26753,4,114,753597,581343,73242.51,13028.86,93302.08,241151,8,Good,Triple Pane,79,2015,0.0,120085.65
B0107,Phoenix Residential 44,Residential,Phoenix,AZ,Hot-Dry,1942,125636,16,530,2486468,2690439,222049.37,52428.67,374954.45,777315,11,Good,Double Pane,60,2016,2.3,717566.81
B0108,Denver Residential 72,Residential,Denver,CO,Cold-Dry,1959,148843,17,406,2618518,3909352,245554.34,58305.41,526458.17,837925,6,Good,Double Pane,77,1959,0.0,855617.06
B0109,Denver Hospital 55,Hospital,Denver,CO,Cold-Dry,1970,315385,25,861,31649026,4812752,3869167.81,689494.85,393227.39,10127688,14,Poor,Double Pane,41,2003,0.0,3267814.3
B0110,Los Angeles Hospital 56,Hospital,Los Angeles,CA,Marine-Mild,1969,343860,19,1680,23838691,8542041,2076781.91,406143.68,947988.17,5708299,3,Poor,Double Pane,59,1992,25.2,3759625.87
B0111,Atlanta Retail 64,Retail,Atlanta,GA,Mixed-Humid,1976,49491,5,137,960348,929972,110418.71,18944.94,171151.45,192269,7,Good,Double Pane,56,2005,37.4,200452.6
B0112,Houston Government 55,Government,Houston,TX,Hot-Humid,1998,94629,11,314,2444917,1350715,257985.92,38967.15,233538.16,782373,22,Good,Double Pane,54,2010,0.0,1116823.21
B0113,Denver School 96,School,Denver,CO,Cold-Dry,1965,64654,6,173,1085661,1371010,112614.87,20657.12,176909.85,347411,1,Excellent,Single Pane,58,1991,0.0,590500.19
B0114,Houston Office 48,Office,Houston,TX,Hot-Humid,2000,70385,12,240,2062479,848075,203152.91,40355.93,174781.52,659993,13,Fair,Single Pane,37,2007,0.0,674078.12
B0115,Denver Retail 28,Retail,Denver,CO,Cold-Dry,1966,74707,11,198,1385065,827114,151469.97,29334.74,164204.57,443221,18,Good,Triple Pane,59,2011,0.0,707939.38
B0116,New York Hospital 85,Hospital,New York,NY,Cold-Humid,1937,330455,18,1384,15021130,7088170,1837956.27,308130.87,1018571.34,3464276,23,Fair,Double Pane,48,2014,27.9,2731466.8
B0117,New York Mixed Use 21,Mixed Use,New York,NY,Cold-Humid,1955,297641,14,1096,9636208,6686466,983443.59,202906.76,594214.99,3083586,14,Good,Double Pane,65,1955,0.0,1456309.5
B0118,Houston School 88,School,Houston,TX,Hot-Humid,1996,55345,8,316,1216023,1063192,110605.14,25307.48,176050.11,389127,22,Poor,Double Pane,43,1996,0.0,751068.13
B0119,Los Angeles School 20,School,Los Angeles,CA,Marine-Mild,1957,82811,8,259,1254836,869156,132045.32,29709.7,107769.38,377888,15,Excellent,Double Pane,65,2003,5.9,357747.65
B0120,Phoenix School 39,School,Phoenix,AZ,Hot-Dry,1941,47886,9,133,816983,554885,89450.57,13369.33,178324.09,261434,9,Fair,Triple Pane,77,2003,0.0,285411.0
B0121,Seattle Office 62,Office,Seattle,WA,Marine-Mild,2003,147353,12,566,4619789,1842728,474220.69,95334.49,330752.21,1478332,8,Poor,Double Pane,34,2003,0.0,1612807.48
B0122,Los Angeles Mixed Use 46,Mixed Use,Los Angeles,CA,Marine-Mild,1994,117972,9,630,3990056,1930292,411995.59,61214.78,310058.55,1101873,21,Poor,Double Pane,40,2016,13.7,1687865.05
B0123,Los Angeles School 35,School,Los Angeles,CA,Marine-Mild,2016,114124,14,421,2276640,2152590,246436.64,51885.09,257888.16,728525,21,Fair,Single Pane,35,2021,0.0,1640594.64
B0124,Atlanta Residential 82,Residential,Atlanta,GA,Mixed-Humid,1935,122922,11,815,1267067,3378830,118181.07,27376.61,444494.46,305421,16,Fair,Double Pane,66,2000,24.7,1242606.79
B0125,Chicago Mixed Use 50,Mixed Use,Chicago,IL,Cold-Humid,1954,110836,12,546,3119041,1393353,360698.3,68370.33,353777.59,998093,23,Good,Triple Pane,63,1990,0.0,1158725.7
B0126,Seattle Mixed Use 13,Mixed Use,Seattle,WA,Marine-Mild,1965,137757,10,827,4480561,2673364,432740.52,70307.89,449878.6,1433779,9,Excellent,Single Pane,73,1993,0.0,903785.55
B0127,Atlanta School 43,School,Atlanta,GA,Mixed-Humid,1954,89561,8,255,2126874,1868500,210620.52,44303.55,314405.11,680599,23,Fair,Double Pane,52,2004,0.0,877464.85
B0128,Houston School 41,School,Houston,TX,Hot-Humid,1976,101250,10,380,2561792,2325894,258384.19,42084.14,338359.58,819773,6,Good,Single Pane,47,2000,0.0,735981.24
B0129,Chicago Office 35,Office,Chicago,IL,Cold-Humid,1992,93044,15,311,2217889,2381727,239567.54,51376.97,213833.7,709724,22,Fair,Triple Pane,57,2011,0.0,1092828.26
B0130,Chicago Hospital 38,Hospital,Chicago,IL,Cold-Humid,1964,117501,10,381,10395564,2784618,1288347.84,221663.22,173190.46,3326580,17,Good,Double Pane,55,1964,0.0,1242760.71
B0131,Atlanta School 37,School,Atlanta,GA,Mixed-Humid,2006,26004,5,96,494812,596889,49277.77,11295.51,74996.95,158339,3,Poor,Triple Pane,68,2018,0.0,272139.34
B0132,Atlanta Retail 45,Retail,Atlanta,GA,Mixed-Humid,1994,27147,7,118,630841,451187,54529.84,10095.74,51463.68,201869,16,Poor,Triple Pane,40,2006,0.0,317218.71
B0133,New York Retail 23,Retail,New York,NY,Cold-Humid,1966,73330,7,268,2512360,1144941,292709.15,55162.12,274080.84,802306,10,Poor,Double Pane,48,2009,0.2,771915.67
B0134,Atlanta Lab 34,Lab,Atlanta,GA,Mixed-Humid,1998,78837,11,282,10106399,1990405,858952.9,233326.91,254562.93,3234047,9,Fair,Double Pane,68,1998,0.0,378103.09
B0135,Phoenix Residential 37,Residential,Phoenix,AZ,Hot-Dry,1971,135923,10,824,2122157,3260072,196531.29,45691.41,479780.37,679090,17,Fair,Double Pane,64,2010,0.0,1258726.92
B0136,Denver Hospital 77,Hospital,Denver,CO,Cold-Dry,1964,141724,10,444,12054526,3222659,1044073.09,196798.91,402552.38,3857448,7,Fair,Double Pane,77,2002,0.0,604955.94
B0137,Denver School 70,School,Denver,CO,Cold-Dry,2013,46701,6,119,1149045,871627,139841.47,24209.39,176854.42,367694,15,Good,Single Pane,65,2025,0.0,357446.96
B0138,Los Angeles Residential 57,Residential,Los Angeles,CA,Marine-Mild,1965,144487,15,372,1666309,1478756,140963.1,37432.85,306761.32,533219,13,Excellent,Single Pane,51,1997,0.0,1107443.58
B0139,Phoenix Mixed Use 17,Mixed Use,Phoenix,AZ,Hot-Dry,1998,293873,15,1291,8043786,7088091,803038.54,160617.63,387838.16,2574011,6,Excellent,Double Pane,85,2010,0.0,1280045.03
B0140,Phoenix Government 36,Government,Phoenix,AZ,Hot-Dry,1932,149839,17,554,4122539,1619520,478059.25,75630.11,473654.4,1319212,16,Fair,Triple Pane,74,1994,0.0,1768656.76
B0141,Phoenix Hospital 93,Hospital,Phoenix,AZ,Hot-Dry,1980,195730,13,770,10281048,5326549,927591.88,217094.09,454404.75,3289935,21,Excellent,Single Pane,58,2022,0.0,2608941.57
